Time,1,2,3,4,5,6
10.0,1.578218,0.05637,-0.400067,1.62902,2.08549,-0.171848
10.001,1.578611,0.063821,-0.3934,1.626275,2.083529,-0.164398
10.002,1.579003,0.072447,-0.385558,1.623137,2.081176,-0.156555
10.003,1.579003,0.081859,-0.376539,1.62,2.078039,-0.147144
10.004,1.579003,0.090093,-0.368304,1.617255,2.075294,-0.138909
10.005,1.579003,0.096367,-0.361638,1.615294,2.072941,-0.132635
10.006,1.578218,0.099896,-0.356933,1.61451,2.07098,-0.128322
10.007,1.577826,0.101073,-0.354972,1.61451,2.070196,-0.126753
10.008,1.577434,0.101465,-0.353403,1.61451,2.069412,-0.125969
10.009,1.577042,0.103033,-0.351443,1.614118,2.068627,-0.124009
10.01,1.57665,0.114013,-0.339679,1.61098,2.064314,-0.112637
10.011,1.57665,0.12264,-0.331052,1.607843,2.061569,-0.10401
10.012,1.576258,0.130482,-0.322033,1.605882,2.058039,-0.095775
10.013,1.575474,0.138325,-0.313014,1.603529,2.05451,-0.087149
10.014,1.574297,0.143423,-0.305172,1.602745,2.05098,-0.080482
10.015,1.573121,0.147344,-0.298898,1.602353,2.048235,-0.075385
10.016,1.570768,0.147344,-0.294584,1.603529,2.04549,-0.073424
10.017,1.568807,0.14656,-0.291447,1.605098,2.043137,-0.072248
10.018,1.566455,0.14303,-0.289879,1.608235,2.040784,-0.073424
10.019,1.56371,0.138325,-0.289487,1.611373,2.038824,-0.075385
10.02,1.561357,0.133619,-0.289094,1.614902,2.037255,-0.077737
10.021,1.559004,0.129306,-0.289094,1.617647,2.035686,-0.079698
10.022,1.556651,0.125777,-0.287918,1.620392,2.033725,-0.080875
10.023,1.554299,0.123424,-0.285565,1.622745,2.031373,-0.080875
10.024,1.552338,0.122248,-0.282428,1.624314,2.02902,-0.08009
10.025,1.547632,0.122248,-0.273017,1.627451,2.022745,-0.074993
10.026,1.544888,0.122248,-0.26792,1.629412,2.019216,-0.07264
10.027,1.542927,0.121856,-0.263998,1.63098,2.016471,-0.071071
10.028,1.540182,0.121071,-0.259685,1.632941,2.013333,-0.069111
10.029,1.537829,0.119111,-0.256548,1.635294,2.010588,-0.068719
10.03,1.534692,0.116366,-0.253019,1.638039,2.007451,-0.068326
10.031,1.531163,0.113229,-0.249489,1.641569,2.003922,-0.067934
10.032,1.528026,0.110484,-0.24596,1.644314,2.000784,-0.067542
10.033,1.525281,0.107347,-0.243215,1.647451,1.997647,-0.067934
10.034,1.522536,0.104602,-0.240471,1.650196,1.994902,-0.067934
10.035,1.519399,0.101465,-0.237726,1.653333,1.992157,-0.067934
10.036,1.516654,0.09872,-0.234981,1.656078,1.989412,-0.067934
10.037,1.513909,0.095583,-0.232628,1.658824,1.986667,-0.068326
10.038,1.511165,0.092054,-0.230667,1.661961,1.984314,-0.069111
10.039,1.508812,0.089309,-0.228315,1.664314,1.981961,-0.069503
10.04,1.503322,0.082251,-0.224393,1.670588,1.976863,-0.071071
10.041,1.500577,0.078722,-0.222825,1.673333,1.97451,-0.071856
10.042,1.498224,0.075192,-0.221256,1.676078,1.972549,-0.07264
10.043,1.495479,0.071663,-0.219688,1.679216,1.970196,-0.073816
10.044,1.492735,0.068526,-0.217727,1.681961,1.967843,-0.0746
10.045,1.490382,0.064997,-0.215766,1.684706,1.96549,-0.075385
10.046,1.487245,0.061076,-0.213414,1.688235,1.962353,-0.076169
10.047,1.4845,0.057547,-0.211453,1.691373,1.96,-0.076953
10.048,1.480971,0.053625,-0.2091,1.69451,1.957255,-0.077737
10.049,1.478226,0.050488,-0.206355,1.697647,1.954118,-0.077737
10.05,1.475481,0.046959,-0.204003,1.700784,1.951373,-0.078522
10.051,1.472736,0.044214,-0.20165,1.703529,1.94902,-0.078522
10.052,1.470383,0.042254,-0.198905,1.70549,1.946667,-0.07813
10.053,1.46803,0.039509,-0.196552,1.708235,1.943922,-0.078522
10.054,1.46607,0.037156,-0.194984,1.710196,1.942353,-0.078914
10.055,1.461756,0.03049,-0.193023,1.715294,1.938824,-0.081267
10.056,1.459796,0.026961,-0.193023,1.717647,1.937647,-0.082835
10.057,1.458619,0.023039,-0.194199,1.72,1.936863,-0.085188
10.058,1.457051,0.018334,-0.19616,1.722353,1.936863,-0.088717
10.059,1.456267,0.012452,-0.200474,1.725098,1.937647,-0.093815
10.06,1.455875,0.005001,-0.20714,1.727843,1.939608,-0.100873
10.061,1.456659,-0.002841,-0.216159,1.729804,1.943137,-0.1095
10.062,1.457443,-0.009899,-0.224785,1.731765,1.946275,-0.117342
10.063,1.459012,-0.015389,-0.233412,1.732549,1.950196,-0.124401
10.064,1.460972,-0.017742,-0.240078,1.731765,1.954118,-0.128714
10.065,1.463717,-0.017742,-0.245176,1.730196,1.957255,-0.131459
10.066,1.466854,-0.014213,-0.247921,1.727059,1.960392,-0.131067
10.067,1.469991,-0.008331,-0.248705,1.722745,1.962745,-0.128322
10.068,1.473912,-0.000488,-0.248705,1.717647,1.96549,-0.124401
10.069,1.478226,0.010099,-0.246745,1.71098,1.967843,-0.118127
10.07,1.490382,0.040293,-0.240863,1.692941,1.973725,-0.100089
10.071,1.497048,0.058723,-0.235765,1.682353,1.976471,-0.088325
10.072,1.504891,0.081074,-0.229099,1.669804,1.979608,-0.073816
10.073,1.513517,0.108523,-0.218511,1.654902,1.981569,-0.054994
10.074,1.523321,0.143815,-0.203218,1.636471,1.983137,-0.029506
10.075,1.535476,0.186949,-0.184004,1.614118,1.984706,0.00108
10.076,1.549201,0.237533,-0.160869,1.588235,1.986275,0.038332
10.077,1.564886,0.294784,-0.134988,1.558431,1.988235,0.079898
10.078,1.581355,0.357917,-0.105186,1.526275,1.989412,0.126169
10.079,1.598609,0.425363,-0.072248,1.492549,1.989804,0.176361
10.08,1.615471,0.497514,-0.033427,1.457255,1.987843,0.232044
10.081,1.631156,0.575155,0.012452,1.420784,1.983137,0.293608
10.082,1.64488,0.658679,0.068526,1.383922,1.973725,0.363406
10.083,1.65586,0.748476,0.136364,1.346667,1.958431,0.442224
10.084,1.66331,0.843371,0.216358,1.309804,1.936863,0.529669
10.085,1.666447,1.038258,0.404972,1.242745,1.876078,0.721419
10.086,1.664094,1.131193,0.503004,1.213725,1.841569,0.817098
10.087,1.658997,1.219029,0.600644,1.187451,1.80549,0.90964
10.088,1.651546,1.303337,0.700244,1.164706,1.767843,1.00179
10.089,1.640959,1.382939,0.801021,1.145098,1.727059,1.09198
10.09,1.627627,1.457051,0.901406,1.12902,1.684706,1.179032
10.091,1.612726,1.521752,0.995909,1.117647,1.643529,1.258634
10.092,1.596648,1.572729,1.078648,1.11098,1.605098,1.325688
10.093,1.580179,1.602922,1.142564,1.112157,1.572941,1.372743
10.094,1.560181,1.602922,1.182561,1.12549,1.545882,1.392742
10.095,1.548809,1.583316,1.185698,1.139608,1.537647,1.384115
10.096,1.522144,1.530379,1.185698,1.174902,1.519608,1.357843
10.097,1.498224,1.450777,1.153936,1.217647,1.51451,1.30216
10.098,1.47156,1.350784,1.107273,1.268627,1.512157,1.228832
10.099,1.442934,1.236283,1.050022,1.325882,1.512157,1.142956
10.1,1.384507,0.986497,0.917091,1.448235,1.517647,0.951598
10.101,1.357843,0.85984,0.843371,1.507843,1.524314,0.851606
10.102,1.335491,0.732399,0.761808,1.565882,1.536471,0.746907
10.103,1.315493,0.600644,0.670442,1.623137,1.553333,0.635543
10.104,1.299416,0.466928,0.568489,1.678431,1.576863,0.517513
10.105,1.288044,0.333605,0.457517,1.730196,1.606275,0.395561
10.106,1.280593,0.203026,0.342231,1.778824,1.639608,0.272433
10.107,1.277456,0.081074,0.226554,1.821176,1.676078,0.153618
10.108,1.277456,-0.03029,0.114797,1.858431,1.713333,0.042254
10.109,1.280201,-0.129498,0.010491,1.889804,1.749804,-0.059307
10.11,1.284907,-0.21459,-0.084404,1.914902,1.784706,-0.149497
10.111,1.291573,-0.285173,-0.168319,1.933725,1.816863,-0.226746
10.112,1.299416,-0.342032,-0.240471,1.947843,1.845882,-0.291055
10.113,1.308434,-0.382813,-0.29929,1.955294,1.871765,-0.340855
10.114,1.31863,-0.408693,-0.345169,1.957255,1.893725,-0.376931
10.115,1.339805,-0.419281,-0.398498,1.946667,1.925882,-0.408693
10.116,1.350784,-0.407517,-0.409478,1.934902,1.936863,-0.408301
10.117,1.362156,-0.387911,-0.412615,1.920784,1.94549,-0.400067
