Time,1,2,3,4,5,6
0.0,1.149623,0.408893,0.810432,1.797647,1.396078,0.609663
0.001,1.148054,0.404188,0.808079,1.8,1.396078,0.605741
0.002,1.14727,0.401051,0.806511,1.801569,1.396078,0.603389
0.003,1.14727,0.401051,0.806511,1.801569,1.396078,0.603389
0.004,1.14727,0.401443,0.806903,1.801569,1.396078,0.604173
0.005,1.148838,0.40654,0.809256,1.798824,1.396078,0.607702
0.006,1.148838,0.408109,0.810824,1.798431,1.395686,0.60927
0.007,1.148446,0.409677,0.812785,1.798039,1.394902,0.611231
0.008,1.147662,0.409677,0.814745,1.798431,1.393333,0.612015
0.009,1.146486,0.409285,0.816706,1.799608,1.392157,0.6128
0.01,1.144917,0.407325,0.81749,1.801176,1.39098,0.612015
0.011,1.143741,0.404972,0.817883,1.802745,1.389804,0.611231
0.012,1.142564,0.403011,0.817883,1.804314,1.38902,0.610447
0.013,1.14178,0.400658,0.81749,1.805098,1.388627,0.608878
0.014,1.140604,0.398698,0.81749,1.806667,1.387843,0.607702
0.015,1.139819,0.397129,0.81749,1.807451,1.387451,0.60731
0.016,1.139035,0.395953,0.817883,1.808627,1.386667,0.606918
0.017,1.139035,0.395561,0.817883,1.808627,1.386667,0.606526
0.018,1.138643,0.395169,0.818275,1.80902,1.386275,0.606526
0.019,1.138251,0.394777,0.818667,1.809412,1.385882,0.606526
0.02,1.137467,0.394384,0.819843,1.810196,1.385098,0.606918
0.021,1.137075,0.394384,0.820627,1.810196,1.384314,0.60731
0.022,1.136682,0.394384,0.821412,1.810588,1.383922,0.607702
0.023,1.136682,0.395561,0.822588,1.810196,1.383529,0.608878
0.024,1.13629,0.397129,0.824549,1.809804,1.382745,0.610839
0.025,1.136682,0.399874,0.826901,1.80902,1.381961,0.613192
0.026,1.137075,0.403403,0.829646,1.807451,1.381569,0.616329
0.027,1.136682,0.405756,0.832783,1.806667,1.38,0.619074
0.028,1.13629,0.408501,0.83592,1.805882,1.378824,0.622211
0.029,1.135898,0.411246,0.83945,1.80549,1.377647,0.624956
0.03,1.135898,0.414383,0.842587,1.804706,1.376471,0.628485
0.031,1.135506,0.416344,0.845331,1.804314,1.375294,0.630838
0.032,1.135506,0.417912,0.8469,1.803922,1.374902,0.632406
0.033,1.135898,0.418304,0.8469,1.803529,1.374902,0.632406
0.034,1.135898,0.418304,0.8469,1.803529,1.374902,0.632406
0.035,1.135506,0.41752,0.846508,1.803922,1.374902,0.632014
0.036,1.135898,0.417912,0.846508,1.803529,1.374902,0.632014
0.037,1.135898,0.418696,0.847292,1.803529,1.374902,0.632798
0.038,1.13629,0.419873,0.847684,1.802745,1.374902,0.633582
0.039,1.137075,0.421833,0.848076,1.801569,1.375294,0.634759
0.04,1.137467,0.42301,0.848468,1.800784,1.375294,0.635543
0.041,1.137467,0.42301,0.848468,1.800784,1.375294,0.635543
0.042,1.136682,0.422226,0.848861,1.801569,1.374902,0.635543
0.043,1.135506,0.420657,0.849645,1.802745,1.373725,0.635151
0.044,1.13433,0.419481,0.851213,1.804314,1.372549,0.635151
0.045,1.133545,0.419481,0.852782,1.804706,1.371373,0.635935
0.046,1.133153,0.420265,0.854743,1.804706,1.370196,0.637112
0.047,1.132761,0.42301,0.857487,1.803922,1.369412,0.640249
0.048,1.132761,0.425755,0.860624,1.803137,1.368235,0.642993
0.049,1.132761,0.428107,0.863369,1.802353,1.367059,0.645738
0.05,1.131977,0.433205,0.869251,1.801176,1.365098,0.651228
0.051,1.131585,0.435166,0.871996,1.800784,1.363922,0.653581
0.052,1.130801,0.437126,0.875525,1.800784,1.361961,0.656326
0.053,1.130408,0.439871,0.879054,1.8,1.360784,0.659463
0.054,1.130016,0.442616,0.882976,1.799216,1.358824,0.6626
0.055,1.129624,0.445361,0.886505,1.798824,1.357647,0.665737
0.056,1.129232,0.448498,0.890034,1.798039,1.356078,0.669266
0.057,1.12884,0.451243,0.893955,1.797255,1.35451,0.672403
0.058,1.12884,0.45438,0.897484,1.796471,1.353333,0.67554
0.059,1.12884,0.458301,0.901406,1.794902,1.351765,0.679461
0.06,1.128448,0.462223,0.905327,1.793725,1.350588,0.683775
0.061,1.12884,0.466144,0.908464,1.792157,1.349804,0.687304
0.062,1.129232,0.468889,0.910817,1.79098,1.34902,0.689657
0.063,1.129232,0.470849,0.912385,1.790196,1.348627,0.691617
0.064,1.129624,0.472026,0.912777,1.789804,1.34902,0.692402
0.065,1.130801,0.474379,0.912777,1.788235,1.349804,0.693578
0.066,1.131585,0.475555,0.912777,1.787451,1.350196,0.69397
0.067,1.131977,0.477123,0.913562,1.786667,1.350196,0.695146
0.068,1.132369,0.479084,0.914738,1.78549,1.349804,0.696715
0.069,1.133153,0.481829,0.916307,1.784314,1.349804,0.699068
0.07,1.133545,0.485358,0.918659,1.782745,1.349412,0.701813
0.071,1.134722,0.489279,0.920228,1.780784,1.349804,0.704558
0.072,1.135506,0.492024,0.921404,1.779216,1.349804,0.706518
0.073,1.13629,0.493593,0.921404,1.778431,1.350196,0.707302
0.074,1.13629,0.493593,0.921404,1.778431,1.350196,0.707302
0.075,1.13629,0.492809,0.920228,1.778431,1.35098,0.706518
0.076,1.137075,0.492024,0.917875,1.778039,1.352157,0.70495
0.077,1.137467,0.490064,0.915522,1.778824,1.352941,0.702597
0.078,1.137859,0.488103,0.912385,1.778824,1.35451,0.700244
0.079,1.137859,0.48575,0.910425,1.779608,1.354902,0.697891
0.08,1.138251,0.48575,0.909248,1.779608,1.355686,0.697107
0.081,1.139035,0.486927,0.909248,1.778431,1.356078,0.697891
0.082,1.139819,0.489279,0.910033,1.777255,1.356471,0.69946
0.083,1.139819,0.492024,0.912385,1.776078,1.355686,0.702205
0.084,1.139819,0.494377,0.914738,1.775294,1.354902,0.704558
0.085,1.139427,0.496338,0.917483,1.775294,1.353725,0.70691
0.086,1.138643,0.497122,0.919836,1.775294,1.352549,0.708479
0.087,1.137467,0.497122,0.922189,1.776078,1.35098,0.709655
0.088,1.135898,0.496338,0.924541,1.777647,1.34902,0.710439
0.089,1.134722,0.495161,0.92611,1.778824,1.347843,0.710439
0.09,1.133545,0.495161,0.92807,1.779216,1.346275,0.711616
0.091,1.133153,0.495553,0.930031,1.779608,1.345098,0.712792
0.092,1.133153,0.498298,0.932384,1.778824,1.344706,0.715145
0.093,1.133153,0.50222,0.935913,1.777255,1.343529,0.719066
0.094,1.133153,0.506925,0.940619,1.775686,1.341961,0.723772
0.095,1.132369,0.51712,0.952774,1.772941,1.337255,0.734751
0.096,1.131977,0.521826,0.958264,1.771765,1.335294,0.739849
0.097,1.131193,0.525355,0.963362,1.77098,1.332941,0.744162
0.098,1.130801,0.528492,0.967283,1.770196,1.331373,0.747692
0.099,1.131193,0.532413,0.970028,1.768627,1.33098,0.751221
0.1,1.131977,0.536335,0.972381,1.766667,1.330588,0.754358
0.101,1.132761,0.540648,0.975126,1.764706,1.330196,0.757887
0.102,1.133938,0.545354,0.977871,1.762353,1.329804,0.761416
0.103,1.13433,0.549667,0.981008,1.760784,1.329412,0.765337
0.104,1.13433,0.553588,0.985321,1.759608,1.327843,0.769259
0.105,1.13433,0.558294,0.990419,1.758039,1.325882,0.774356
0.106,1.13433,0.564176,0.995516,1.756078,1.324314,0.779846
0.107,1.135114,0.570842,1.000614,1.753333,1.323137,0.785728
0.108,1.135898,0.5779,1.006104,1.750196,1.321961,0.792002
0.109,1.137075,0.584959,1.011202,1.747059,1.320784,0.797884
0.11,1.139819,0.600644,1.021005,1.74,1.319608,0.810824
0.111,1.14178,0.607702,1.024926,1.736471,1.319216,0.816314
0.112,1.142956,0.613584,1.028063,1.733725,1.319216,0.820627
0.113,1.144525,0.619858,1.030808,1.730588,1.319608,0.825333
0.114,1.146094,0.62574,1.033553,1.727451,1.319608,0.829646
0.115,1.14727,0.631622,1.037082,1.724706,1.319216,0.834352
0.116,1.149231,0.63868,1.041003,1.721176,1.318824,0.839842
0.117,1.150407,0.646523,1.046101,1.718039,1.318039,0.846116
0.118,1.151975,0.655149,1.051199,1.713725,1.317647,0.853174
0.119,1.153544,0.663776,1.05708,1.710196,1.316471,0.860232
0.12,1.15472,0.672795,1.063747,1.706275,1.315294,0.868075
0.121,1.155897,0.682991,1.071589,1.701961,1.313333,0.877094
0.122,1.157465,0.694754,1.080608,1.697255,1.311373,0.887681
0.123,1.159034,0.707695,1.090019,1.691765,1.309412,0.898661
0.124,1.160994,0.720635,1.098646,1.685882,1.307843,0.90964
0.125,1.1657,0.740241,1.109234,1.676471,1.307451,0.924541
0.126,1.167661,0.746515,1.111586,1.672941,1.307843,0.928855
0.127,1.168837,0.749652,1.112763,1.671373,1.308235,0.931207
0.128,1.168445,0.750829,1.113939,1.67098,1.307843,0.932384
0.129,1.168053,0.751221,1.115508,1.67098,1.306667,0.933168
0.13,1.166876,0.751221,1.11786,1.671765,1.305098,0.934344
